MD,INC,AZ,TVD
16361.0,94.58,0.15,11878.48
16456.0,93.75,0.58,11871.58
16551.0,93.19,359.87,11865.83
16646.0,92.03,359.49,11861.51
16741.0,92.78,359.57,11857.52
16836.0,91.96,359.71,11853.59
16930.0,91.92,0.01,11850.41
17025.0,92.54,359.84,11846.72
17120.0,93.47,359.63,11841.74
17214.0,92.58,0.22,11836.77
17285.0,92.51,0.44,11833.62
17380.0,92.65,0.53,11829.35
17474.0,91.2,0.37,11826.19
17663.0,91.1,0.22,11822.39
17758.0,91.75,0.3,11820.03
17851.0,92.2,359.88,11816.83
17944.0,91.72,359.54,11813.65
18040.0,91.51,359.41,11810.94
18134.0,91.75,359.44,11808.27
18226.0,91.61,359.19,11805.57
18318.0,91.93,359.46,11802.73
18411.0,90.65,359.99,11800.63
18504.0,89.62,359.91,11800.42
18598.0,88.66,359.05,11801.83
18690.0,91.55,357.65,11801.66
18784.0,91.2,357.27,11799.4
18878.0,92.17,359.23,11796.64
18972.0,92.37,0.22,11792.91
19066.0,92.92,0.33,11788.58
19160.0,92.85,0.77,11783.85
19254.0,92.24,1.98,11779.67
19349.0,92.99,2.8,11775.34
19443.0,92.61,2.18,11770.74
19537.0,92.96,2.73,11766.18
19632.0,92.48,3.1,11761.67
19726.0,93.2,2.27,11757.01
19820.0,92.55,3.97,11752.3
19913.0,92.16,4.11,11748.48
20008.0,91.96,3.42,11745.06
20104.0,91.62,3.66,11742.06
20198.0,90.58,3.67,11740.26
20292.0,89.79,3.44,11739.95
20387.0,89.86,2.58,11740.24
20481.0,91.45,3.56,11739.17
20575.0,93.71,3.69,11734.94
20669.0,94.41,1.37,11728.28
20763.0,94.47,358.64,11721.0
20857.0,95.13,356.92,11713.14
20951.0,96.13,355.29,11703.92
21045.0,96.23,352.94,11693.79
21140.0,94.33,350.73,11685.05
21235.0,91.37,352.07,11680.33
21328.0,91.96,354.4,11677.63
21423.0,92.34,357.39,11674.06
21517.0,92.68,359.61,11669.94
21612.0,92.82,2.47,11665.39
21706.0,91.27,4.04,11662.03
21799.0,90.48,5.77,11660.61
21836.0,90.76,7.37,11660.21
21905.0,90.76,7.37,11659.29
