Well Name,Depth (m),Quartz,K-Feldspar,Plagioclase,Total Feldspar,Chlorite,IlliteSmectiteMica,Kaolinite,Total Clay,Calcite,Ankerite/Dolomite,Total Carbonate,Pyrite,Organics ,,,Al2O3,SiO2,TiO2,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,SO3,Cl ,Zr
,,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,,,%,%,%,%,%,%,%,%,%,%,%,%,ppm
Well 1,3420.86,37.39,0.77,8.39,9.16,3.01,13.46,n/a,16.47,28.54,4.71,33.26,1.55,2.18,,,4.13,33.79,0.25,1.96,0.23,0.62,23.55,0.47,0.81,0.07,1.22,0.23,128.64
Well 1,3430.00,37.75,1.74,8.21,9.95,2.66,12.39,n/a,15.05,28.73,5.57,34.30,1.23,1.73,,,4.92,39.03,0.27,2.10,0.21,0.63,22.18,0.53,0.98,0.09,1.53,0.23,147.50
Well 1,3439.14,38.95,0.04,8.01,8.05,2.89,12.82,n/a,15.71,28.36,5.45,33.81,1.51,1.97,,,6.94,41.76,0.41,2.33,0.27,0.47,22.29,0.64,1.18,0.09,1.14,0.03,258.74
Well 1,3448.29,35.61,1.11,9.93,11.03,2.96,20.71,n/a,23.67,23.20,1.69,24.90,1.85,2.94,,,10.95,43.46,0.57,3.84,0.28,3.26,9.22,1.02,2.43,0.18,1.70,0.03,338.41
Well 1,3457.43,28.92,2.48,7.93,10.40,3.69,14.97,n/a,18.66,30.73,7.37,38.10,1.71,2.22,,,7.06,36.60,0.37,2.63,0.28,0.83,23.19,0.50,1.31,0.73,1.09,0.04,232.64
Well 1,3466.58,34.08,2.10,7.06,9.17,2.67,12.22,n/a,14.89,29.17,9.26,38.43,1.48,1.95,,,6.77,37.16,0.33,2.51,0.25,0.93,22.17,0.53,1.21,0.72,1.19,0.04,236.36
Well 1,3475.72,29.72,3.21,8.57,11.77,3.38,16.55,n/a,19.93,28.78,5.03,33.81,2.17,2.60,,,7.63,36.13,0.39,2.56,0.24,0.71,22.27,0.50,1.31,1.04,1.11,0.05,217.30
Well 1,3484.86,32.90,3.49,10.03,13.52,3.41,16.52,n/a,19.93,26.52,1.97,28.49,2.10,3.05,,,10.48,45.31,0.55,3.76,0.34,3.52,12.10,0.90,2.40,0.72,1.62,0.08,269.79
Well 1,3494.01,34.05,4.62,8.35,12.97,2.45,17.45,n/a,19.90,24.74,3.58,28.31,2.07,2.69,,,7.86,37.18,0.36,2.47,0.21,0.45,16.68,0.53,1.33,0.36,1.28,0.09,251.51
Well 1,3503.15,32.49,1.21,9.99,11.20,3.17,19.90,n/a,23.07,26.05,1.72,27.76,2.27,3.21,,,8.94,42.04,0.40,2.64,0.19,0.42,16.44,0.61,1.55,0.31,1.54,0.04,272.82
