Well Name,Depth (m),Quartz,K-Feldspar,Plagioclase,Total Feldspar,Chlorite,IlliteSmectiteMica,Kaolinite,Total Clay,Calcite,Ankerite/Dolomite,Total Carbonate,Pyrite,Organics ,,,Al2O3,SiO2,TiO2,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,SO3,Cl ,Zr
,,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,,,%,%,%,%,%,%,%,%,%,%,%,%,ppm
Well 1,4252.96,44.59,1.98,5.56,7.53,2.49,7.13,n/a,9.62,28.52,6.99,35.51,1.28,1.47,,,9.35,41.74,0.51,3.22,0.25,3.56,10.73,1.16,2.30,0.15,1.41,0.16,157.53
Well 1,4262.10,40.24,2.43,6.06,8.49,3.43,10.77,n/a,14.20,27.45,6.03,33.48,1.55,2.05,,,3.48,46.08,0.31,1.62,0.15,0.61,19.47,0.77,0.76,0.09,1.21,0.25,183.41
Well 1,4271.25,38.62,0.00,3.97,3.97,2.02,6.44,n/a,8.47,42.10,4.35,46.45,1.02,1.48,,,1.48,32.29,0.24,1.24,0.18,0.52,31.39,0.44,0.40,<LOD,0.77,0.17,110.02
Well 1,4280.39,35.70,2.08,2.28,4.36,2.46,8.19,n/a,10.65,44.16,2.35,46.50,1.23,1.57,,,1.54,34.67,0.23,1.29,0.16,0.52,29.44,0.53,0.42,0.01,0.97,0.22,110.02
Well 1,4289.54,29.25,0.00,1.31,1.31,1.56,7.48,n/a,9.04,57.15,1.44,58.59,0.83,0.97,,,0.98,30.84,0.20,0.97,0.16,0.39,33.20,0.46,0.34,<LOD,1.03,0.16,110.14
Well 1,4307.82,32.20,0.00,3.16,3.16,2.01,5.90,n/a,7.91,52.45,2.55,55.00,0.69,1.04,,,1.02,31.17,0.24,1.00,0.15,0.41,33.00,0.40,0.34,<LOD,1.07,0.20,126.92
Well 1,4326.11,33.84,0.00,3.13,3.13,1.64,5.28,n/a,6.92,52.21,2.17,54.38,0.68,1.06,,,1.02,31.80,0.20,0.96,0.16,0.39,34.13,0.40,0.32,<LOD,0.89,0.15,94.66
Well 1,4344.40,34.18,0.00,4.63,4.63,2.94,7.07,n/a,10.01,42.85,6.22,49.08,0.75,1.35,,,2.37,35.36,0.30,1.41,0.18,0.77,27.80,0.58,0.53,0.02,1.26,0.21,169.58
Well 1,4362.69,36.67,0.00,5.24,5.24,2.22,6.03,n/a,8.25,39.75,7.80,47.55,0.99,1.29,,,2.28,35.84,0.29,1.52,0.19,0.81,27.88,0.55,0.54,0.04,1.30,0.23,153.98
Well 1,4371.83,35.25,0.84,6.82,7.66,4.13,14.11,n/a,18.23,32.51,2.57,35.07,1.40,2.38,,,3.81,41.21,0.33,1.75,0.20,0.45,22.82,0.62,0.82,0.06,1.07,0.16,223.11
Well 1,4380.98,40.87,0.94,7.06,7.99,3.13,13.07,n/a,16.20,28.00,3.61,31.61,1.26,2.06,,,3.67,41.02,0.31,1.63,0.16,0.38,22.13,0.67,0.80,0.06,1.14,0.17,218.74
Well 1,4399.26,40.90,1.23,6.84,8.07,2.92,11.56,n/a,14.48,29.92,3.29,33.21,1.38,1.97,,,9.69,43.66,0.51,3.21,0.23,3.13,11.45,1.10,2.32,0.13,1.68,0.25,177.02
Well 1,4426.70,40.31,0.77,6.95,7.72,3.26,13.10,n/a,16.36,29.81,2.32,32.12,1.25,2.23,,,3.79,43.20,0.32,1.52,0.14,0.36,21.02,0.70,0.82,0.08,1.38,0.17,151.62
Well 1,4444.98,41.75,0.40,6.87,7.27,3.29,11.95,n/a,15.24,30.26,1.91,32.17,1.34,2.24,,,3.68,43.70,0.32,1.54,0.16,0.26,20.51,0.67,0.79,0.08,1.29,0.14,171.94
Well 1,4463.27,39.05,0.93,7.47,8.40,3.71,13.76,n/a,17.47,29.56,1.57,31.13,1.53,2.41,,,9.83,43.41,0.54,3.28,0.21,3.15,10.67,1.20,2.33,0.14,1.85,0.37,205.98
Well 1,4481.56,34.71,0.00,5.97,5.98,3.19,10.13,n/a,13.31,37.18,5.78,42.97,1.30,1.73,,,2.32,30.71,0.29,1.50,0.22,0.65,29.03,0.49,0.54,0.01,1.06,0.19,160.48
Well 1,4499.85,40.18,1.27,9.77,11.04,4.45,16.68,n/a,21.13,18.09,4.70,22.79,1.83,3.03,,,5.25,44.15,0.40,2.10,0.20,0.39,17.27,0.73,1.02,0.08,1.34,0.18,210.94
Well 1,4518.14,44.49,0.84,8.34,9.18,3.10,12.31,n/a,15.41,21.05,5.99,27.04,1.75,2.13,,,4.98,42.82,0.41,1.94,0.16,0.49,19.03,0.68,0.95,0.08,1.30,0.19,181.99
Well 1,4527.28,43.53,0.09,7.10,7.19,2.69,13.73,n/a,16.43,27.36,1.67,29.03,1.34,2.48,,,4.09,44.46,0.36,1.83,0.18,0.33,18.36,0.75,0.86,0.08,1.36,0.20,167.81
Well 1,4536.42,44.54,1.82,10.78,12.60,3.74,11.55,n/a,15.29,21.55,1.90,23.45,1.46,2.67,,,4.71,47.28,0.41,1.80,0.16,0.35,16.32,0.83,0.89,0.09,1.27,0.22,203.85
Well 1,4545.57,46.18,2.17,11.59,13.76,3.14,12.04,n/a,15.18,19.10,1.87,20.97,1.53,2.37,,,10.06,41.49,0.58,3.42,0.24,3.17,9.14,1.39,2.33,0.17,1.32,0.18,259.04
Well 1,4554.71,43.07,2.11,10.42,12.52,4.02,13.03,n/a,17.06,21.78,1.66,23.44,1.33,2.58,,,4.65,45.74,0.50,1.93,0.21,0.26,14.72,0.73,0.91,0.11,1.33,0.18,224.53
Well 1,4563.86,43.22,2.27,10.62,12.90,3.73,12.86,n/a,16.59,21.16,2.05,23.22,1.52,2.56,,,5.01,49.18,0.43,1.96,0.19,0.29,16.37,0.79,0.93,0.13,1.05,0.13,234.93
Well 1,4573.00,44.65,2.33,10.98,13.30,3.84,15.68,n/a,19.52,16.04,2.24,18.28,1.36,2.90,,,5.39,48.27,0.43,2.12,0.17,0.40,15.72,0.83,0.94,0.11,1.21,0.17,226.07
Well 1,4591.29,43.53,0.13,8.39,8.52,3.42,13.70,n/a,17.12,24.04,2.71,26.74,1.59,2.50,,,4.65,45.02,0.39,1.91,0.18,0.36,19.25,0.74,0.90,0.07,1.35,0.14,186.71
Well 1,4600.43,43.46,0.00,6.77,6.77,2.19,10.06,n/a,12.25,31.00,3.60,34.61,1.23,1.68,,,3.79,39.03,0.32,1.71,0.16,0.48,23.89,0.64,0.74,0.04,1.24,0.17,124.20
Well 1,4609.58,47.03,1.67,10.92,12.59,3.99,13.79,n/a,17.79,16.01,2.26,18.26,1.60,2.73,,,4.57,48.14,0.39,1.95,0.18,0.39,15.42,0.77,0.89,0.10,1.26,0.13,242.37
Well 1,4618.72,44.42,3.90,10.81,14.72,4.39,16.49,n/a,20.88,13.07,2.45,15.52,1.49,2.96,,,4.32,44.26,0.42,1.77,0.18,0.36,14.24,0.69,0.89,0.17,1.32,0.13,226.07
Well 1,4627.86,44.16,2.45,10.36,12.81,4.15,13.22,n/a,17.37,19.38,2.16,21.54,1.46,2.65,,,4.82,48.64,0.44,1.98,0.19,0.39,14.11,0.76,0.96,0.11,1.48,0.14,235.99
Well 1,4637.01,44.05,1.68,6.96,8.64,3.43,12.82,n/a,16.25,24.41,2.54,26.95,1.68,2.44,,,4.08,47.71,0.38,1.78,0.20,0.42,19.25,0.79,0.83,0.08,1.49,0.16,179.27
Well 1,4655.30,38.17,1.67,2.70,4.38,2.33,11.33,n/a,13.66,37.80,3.06,40.86,1.31,1.63,,,2.26,30.79,0.30,1.64,0.17,0.16,20.63,0.36,0.72,0.06,1.16,0.15,87.09
Well 1,4673.58,36.83,3.27,3.08,6.36,1.95,11.46,n/a,13.41,39.26,1.04,40.30,1.24,1.86,,,3.55,43.15,0.32,1.69,0.16,0.28,21.48,0.62,0.78,0.06,1.38,0.18,112.74
Well 1,4682.73,38.13,2.36,5.77,8.13,3.37,14.36,n/a,17.73,30.47,1.66,32.13,1.59,2.29,,,3.87,44.36,0.33,1.80,0.16,0.29,20.65,0.65,0.78,0.07,1.29,0.16,106.47
Well 1,4691.87,43.14,1.57,10.89,12.46,3.70,18.78,n/a,22.48,15.95,2.81,18.76,1.27,1.88,,,11.08,40.77,0.66,4.31,0.45,3.06,6.17,1.27,2.41,0.17,0.66,0.10,196.88
Well 1,4710.16,35.47,0.08,9.56,9.64,3.74,14.31,n/a,18.05,29.41,3.88,33.29,1.48,2.07,,,7.71,43.78,0.47,3.06,0.55,0.43,18.90,0.69,1.06,0.10,0.96,0.09,131.41
Well 1,4719.30,39.89,0.76,5.78,6.54,2.69,12.06,n/a,14.75,31.49,4.14,35.63,1.26,1.93,,,4.73,43.67,0.40,1.94,0.22,0.43,20.97,0.64,0.88,0.11,1.30,0.13,136.61
Well 1,4725.40,45.73,3.47,7.73,11.21,2.48,12.61,n/a,15.09,22.89,1.75,24.64,1.29,2.05,,,2.86,47.07,0.33,1.35,0.16,0.04,20.44,0.67,0.62,0.05,0.79,0.13,223.94
Well 1,4734.54,45.51,4.30,6.08,10.38,2.84,8.75,n/a,11.58,29.56,0.04,29.60,0.96,1.97,,,3.18,47.79,0.34,1.39,0.15,0.04,19.41,0.73,0.61,0.05,0.94,0.16,242.26
Well 1,4743.69,51.62,1.77,6.40,8.17,1.96,8.20,n/a,10.17,26.51,1.01,27.52,0.83,1.69,,,1.36,27.76,0.31,1.08,0.14,0.02,17.39,0.34,0.49,0.05,0.77,0.14,193.33
Well 1,4752.83,48.45,2.97,6.70,9.67,2.28,7.98,n/a,10.26,28.80,0.35,29.15,0.76,1.70,,,2.42,46.08,0.33,1.26,0.16,0.05,20.79,0.69,0.58,0.05,0.74,0.13,212.83
Well 1,4761.98,47.27,4.76,6.64,11.40,2.83,8.37,n/a,11.20,26.59,0.83,27.42,0.82,1.88,,,2.48,46.13,0.36,1.29,0.16,0.04,20.58,0.65,0.61,0.05,0.84,0.15,227.13
Well 1,4771.12,43.89,5.70,6.52,12.22,3.00,7.88,n/a,10.88,30.16,0.00,30.16,0.95,1.91,,,2.46,43.78,0.35,1.28,0.17,0.04,21.09,0.61,0.57,0.04,0.68,0.13,222.99
Well 1,4780.26,43.24,5.16,2.86,8.01,2.66,14.51,n/a,17.16,27.41,0.36,27.76,1.32,2.50,,,2.76,44.55,0.31,1.38,0.14,0.04,17.30,0.58,0.68,0.06,1.10,0.16,94.42
Well 1,4789.41,43.19,6.52,1.31,7.83,3.13,15.05,n/a,18.18,26.33,0.26,26.59,1.16,3.04,,,2.50,54.68,0.43,1.37,0.15,0.03,15.69,0.60,0.64,0.08,1.33,0.10,75.75
Well 1,4798.55,47.62,5.12,4.27,9.39,2.17,11.03,n/a,13.21,26.20,0.00,26.20,1.14,2.45,,,8.91,41.89,0.53,2.89,0.27,2.79,9.92,0.87,2.26,0.14,1.03,0.12,181.16
Well 1,4807.70,46.01,4.26,4.26,8.51,2.58,10.70,n/a,13.27,28.38,0.00,28.38,1.32,2.51,,,2.28,51.24,0.31,1.19,0.14,0.03,17.02,0.60,0.53,0.08,0.82,0.09,160.60
Well 1,4816.84,48.69,4.13,5.29,9.41,2.20,10.77,n/a,12.98,24.90,0.41,25.30,1.26,2.35,,,0.93,51.13,0.29,0.90,0.14,0.04,19.05,<LOD,0.50,0.10,0.69,0.10,151.85
Well 1,4825.98,44.56,6.43,3.67,10.10,3.27,12.05,n/a,15.32,26.09,0.00,26.09,1.07,2.85,,,8.88,41.49,0.50,2.86,0.23,2.79,10.10,0.87,2.26,0.14,0.82,0.10,169.93
Well 1,4835.13,44.11,5.86,3.64,9.50,3.16,12.48,n/a,15.64,26.84,0.00,26.84,1.14,2.79,,,1.81,52.40,0.28,0.97,0.12,0.03,17.33,0.63,0.47,0.09,0.72,0.09,172.18
Well 1,4844.27,47.36,2.50,3.19,5.69,2.28,19.97,n/a,22.25,19.81,0.59,20.41,1.59,2.71,,,9.60,39.58,0.52,3.15,0.19,2.79,8.11,0.99,2.33,0.13,1.31,0.10,71.38
Well 1,4853.42,44.77,4.21,3.97,8.19,3.38,17.25,n/a,20.62,21.69,0.46,22.15,1.39,2.88,,,3.28,52.09,0.34,1.47,0.13,0.03,15.85,0.65,0.72,0.08,0.96,0.09,105.06
Well 1,4862.56,42.30,5.14,2.36,7.50,3.54,23.81,n/a,27.35,17.18,0.56,17.73,1.55,3.57,,,4.62,56.55,0.34,1.68,0.15,<LOD,13.38,0.63,1.03,0.08,0.98,0.07,70.90
Well 1,4871.70,41.75,5.67,2.59,8.26,3.83,19.77,n/a,23.59,20.71,1.06,21.77,1.44,3.18,,,4.51,54.77,0.35,1.69,0.14,<LOD,12.58,0.60,1.00,0.08,1.06,0.06,78.94
Well 1,4884.81,31.43,0.00,2.42,2.42,2.99,10.12,n/a,13.11,42.68,7.97,50.65,0.98,1.42,,,1.73,32.34,0.25,1.75,0.19,1.24,31.11,<LOD,0.47,<LOD,1.21,0.16,79.62
Well 1,4889.99,43.36,1.54,2.35,3.89,1.16,7.89,n/a,9.05,30.27,11.95,42.21,0.76,0.73,,,2.44,49.16,0.25,2.01,0.20,1.01,18.07,0.67,0.60,0.06,0.73,0.06,121.06
Well 1,4899.14,46.74,0.09,3.24,3.34,0.97,6.35,n/a,7.32,29.29,11.25,40.54,1.18,0.89,,,2.45,48.25,0.25,2.01,0.21,1.08,18.38,0.69,0.59,0.07,0.64,0.06,108.52
Well 1,4908.28,43.47,3.36,1.05,4.41,1.57,9.53,n/a,11.10,27.91,10.01,37.92,1.38,1.72,,,3.45,69.77,0.24,2.15,0.20,1.91,19.78,1.15,0.64,0.08,0.88,0.08,220.88
Well 1,4917.42,42.58,3.54,1.60,5.13,1.93,9.71,n/a,11.65,28.33,9.41,37.74,1.30,1.59,,,2.63,48.48,0.25,2.09,0.22,1.01,18.62,0.65,0.61,0.07,0.68,0.04,187.85
Well 1,4926.57,41.30,4.16,1.73,5.89,2.20,9.49,n/a,11.69,28.92,9.42,38.34,1.18,1.60,,,3.52,68.76,0.27,2.11,0.20,1.61,19.91,0.98,0.67,0.08,0.82,0.06,117.81
Well 1,4935.71,43.54,2.69,1.54,4.23,1.86,9.35,n/a,11.21,28.90,9.21,38.11,1.27,1.63,,,2.47,49.87,0.26,1.97,0.21,1.01,18.74,0.70,0.61,0.08,0.64,0.03,110.44
Well 1,4944.86,28.11,0.00,4.16,4.16,2.01,8.33,n/a,10.35,51.63,4.02,55.65,0.78,0.95,,,2.48,30.61,0.24,1.43,0.19,0.58,34.26,0.46,0.46,<LOD,0.77,0.07,212.48
Well 1,4954.00,29.17,0.00,4.34,4.34,1.87,7.36,n/a,9.23,50.56,5.21,55.77,0.66,0.83,,,1.91,27.73,0.20,1.46,0.20,0.56,33.56,0.39,0.41,<LOD,0.62,0.07,220.73
Well 1,4963.14,27.05,0.00,3.96,3.96,1.39,5.67,n/a,7.05,54.90,6.02,60.92,0.41,0.59,,,2.36,30.41,0.24,1.44,0.19,0.57,32.52,0.45,0.44,<LOD,0.70,0.05,223.09
Well 1,4972.29,33.98,0.68,4.53,5.21,1.70,6.58,n/a,8.28,43.70,7.10,50.80,0.95,0.79,,,2.90,38.91,0.28,1.70,0.22,0.63,26.22,0.59,0.56,0.03,0.66,0.06,259.66
Well 1,4981.43,34.87,0.38,4.90,5.28,1.92,7.15,n/a,9.08,42.66,6.32,48.98,0.84,0.96,,,3.11,39.78,0.29,1.77,0.22,0.63,25.32,0.57,0.59,0.03,0.61,0.04,262.46
Well 1,4990.58,35.57,1.21,5.07,6.29,2.01,8.06,n/a,10.07,39.95,6.21,46.15,0.88,1.04,,,3.03,39.66,0.28,1.77,0.23,0.61,25.44,0.56,0.60,0.03,0.58,0.06,243.59
Well 1,4999.72,35.13,1.20,5.00,6.20,1.87,8.06,n/a,9.93,40.00,6.89,46.89,0.91,0.95,,,3.23,41.19,0.30,1.84,0.22,0.65,24.92,0.63,0.62,0.04,0.71,0.08,252.29
Well 1,5008.86,47.45,1.72,3.01,4.73,1.51,12.50,n/a,14.01,27.65,3.82,31.47,0.92,1.42,,,3.99,52.34,0.29,1.44,0.13,0.16,13.67,0.63,0.91,0.07,0.84,0.07,93.48
Well 1,5018.01,47.84,2.78,2.91,5.70,1.44,16.08,n/a,17.53,23.58,2.68,26.26,1.13,1.55,,,4.38,58.54,0.42,1.48,0.17,0.09,13.14,0.70,1.00,0.07,0.61,0.07,92.75
Well 1,5027.15,48.31,3.91,2.10,6.01,1.55,17.04,n/a,18.58,21.55,2.43,23.97,1.26,1.86,,,4.24,55.92,0.30,1.46,0.12,0.08,12.34,0.66,0.96,0.08,0.65,0.05,95.70
Well 1,5036.30,51.50,2.23,2.97,5.20,1.29,15.67,n/a,16.96,21.10,2.49,23.59,1.08,1.67,,,4.29,56.31,0.30,1.46,0.13,0.07,12.84,0.66,0.98,0.08,0.65,0.07,87.44
Well 1,5054.58,49.92,4.85,2.16,7.00,2.52,20.87,n/a,23.39,15.77,0.53,16.30,0.98,2.41,,,6.85,78.42,0.34,1.87,0.14,<LOD,9.77,1.05,1.13,0.10,0.74,0.04,142.14
Well 1,5072.87,50.72,0.00,5.62,5.62,1.50,18.45,n/a,19.95,19.35,1.61,20.96,1.30,1.44,,,7.08,79.16,0.32,1.41,0.10,<LOD,9.33,1.08,1.11,0.09,0.68,0.07,122.09
Well 1,5091.16,51.50,2.11,4.37,6.48,2.14,21.71,n/a,23.84,13.75,0.86,14.61,1.36,2.20,,,4.78,58.66,0.38,1.43,0.12,<LOD,10.02,0.70,1.06,0.08,0.80,0.06,133.74
Well 1,5109.45,46.70,5.00,3.84,8.83,3.50,21.68,n/a,25.17,14.69,0.39,15.08,1.30,2.91,,,4.86,60.87,0.38,1.39,0.11,<LOD,9.38,0.71,1.08,0.09,0.74,0.09,142.14
Well 1,5127.74,47.97,4.92,3.90,8.82,2.58,20.82,n/a,23.40,14.94,0.79,15.73,1.33,2.75,,,4.83,58.12,0.38,1.42,0.12,<LOD,9.28,0.68,1.09,0.09,0.80,0.08,136.24
Well 1,5146.02,47.96,0.00,3.34,3.34,1.25,11.18,n/a,12.43,30.93,2.93,33.86,1.06,1.35,,,4.38,54.55,0.32,1.53,0.13,0.16,13.94,0.70,0.92,0.07,1.03,0.07,122.68
Well 1,5164.31,48.05,3.51,3.55,7.05,2.70,16.29,n/a,18.99,17.70,4.81,22.51,1.40,2.00,,,4.30,54.47,0.37,1.75,0.17,0.32,10.82,0.66,0.98,0.08,0.80,0.07,161.16
Well 1,5182.60,46.83,5.07,3.88,8.95,2.69,17.08,n/a,19.77,16.76,3.66,20.42,1.42,2.61,,,4.49,56.63,0.36,1.72,0.15,0.37,10.66,0.71,1.00,0.09,0.78,0.05,176.20
Well 1,5200.89,48.78,1.28,4.97,6.25,1.53,14.53,n/a,16.06,22.58,2.89,25.48,1.40,2.03,,,4.30,53.73,0.34,1.62,0.17,0.26,11.34,0.71,0.96,0.07,0.73,0.08,150.84
Well 1,5219.18,47.25,3.67,3.41,7.09,2.31,15.00,n/a,17.31,23.36,1.81,25.16,1.17,2.03,,,3.80,47.88,0.33,1.55,0.14,0.18,16.26,0.57,0.86,0.07,0.63,0.05,110.00
Well 1,5228.32,44.11,3.27,3.23,6.50,2.61,15.31,n/a,17.92,24.42,3.30,27.73,1.39,2.35,,,3.56,49.29,0.33,1.53,0.16,0.29,16.93,0.60,0.83,0.06,0.65,0.06,110.59
Well 1,5237.46,48.25,1.25,4.48,5.73,1.99,15.84,n/a,17.83,21.41,3.68,25.09,1.39,1.70,,,4.01,49.93,0.34,1.71,0.17,0.29,16.75,0.67,0.87,0.06,0.77,0.06,114.72
Well 1,5246.61,41.16,0.00,3.56,3.56,1.37,6.41,n/a,7.78,35.88,9.79,45.66,1.05,0.79,,,2.49,37.22,0.29,1.66,0.20,0.69,22.76,0.51,0.58,0.04,0.66,0.07,176.79
Well 1,5255.75,42.33,0.00,3.37,3.37,1.96,8.22,n/a,10.17,33.51,8.61,42.12,0.75,1.25,,,2.59,38.40,0.30,1.72,0.20,0.70,23.88,0.51,0.61,0.04,0.62,0.07,153.64
Well 1,5264.90,38.02,1.18,2.77,3.96,2.14,9.15,n/a,11.29,36.09,8.05,44.13,1.10,1.50,,,2.72,40.96,0.31,1.69,0.22,0.80,24.36,0.55,0.64,0.04,0.66,0.07,173.40
Well 1,5274.04,36.94,1.20,3.31,4.51,2.76,11.41,n/a,14.18,32.73,8.76,41.49,1.42,1.46,,,2.47,40.57,0.28,1.73,0.19,0.79,23.75,0.58,0.60,0.02,0.73,0.07,169.57
Well 1,5292.33,45.71,3.69,1.90,5.59,1.95,13.30,n/a,15.26,27.81,2.45,30.26,1.13,2.06,,,3.58,48.38,0.34,1.55,0.14,0.10,16.37,0.52,0.73,0.05,1.17,0.05,61.93
Well 1,5296.90,43.47,5.72,0.15,5.88,2.73,14.97,n/a,17.70,27.17,2.27,29.44,1.23,2.28,,,2.96,46.61,0.31,1.34,0.13,0.08,15.23,0.59,0.69,0.06,1.07,0.07,130.64
Well 1,5319.76,42.33,2.44,2.88,5.33,2.19,14.07,n/a,16.26,29.87,2.67,32.54,1.42,2.12,,,3.66,39.07,0.27,1.64,0.15,0.24,18.83,0.53,0.81,0.07,0.70,0.06,124.89
Well 1,5338.05,40.87,1.85,2.92,4.76,2.25,15.05,n/a,17.30,31.48,1.60,33.08,1.70,2.28,,,3.43,40.32,0.28,1.59,0.16,0.17,20.50,0.53,0.78,0.06,0.65,0.08,148.93
Well 1,5356.34,45.26,2.06,2.81,4.87,1.34,9.53,n/a,10.88,34.64,1.58,36.22,1.23,1.54,,,2.33,51.17,0.26,1.09,0.11,0.03,18.54,0.59,0.60,0.05,0.78,0.07,91.57
Well 1,5374.62,44.62,5.06,2.90,7.96,2.35,16.14,n/a,18.49,24.45,0.09,24.54,1.44,2.95,,,2.18,46.85,0.26,1.15,0.13,0.03,18.72,0.57,0.61,0.06,0.64,0.09,138.46
Well 1,5392.91,46.92,2.20,3.95,6.15,1.42,13.35,n/a,14.77,28.15,0.16,28.30,1.33,2.53,,,2.28,44.77,0.25,1.17,0.12,0.03,18.85,0.55,0.57,0.04,0.71,0.09,149.22
Well 1,5411.20,48.07,3.03,2.58,5.61,1.55,12.97,n/a,14.53,27.78,0.47,28.25,1.34,2.20,,,2.14,47.14,0.24,1.10,0.12,0.03,19.31,0.55,0.59,0.06,0.64,0.08,133.74
Well 1,5429.49,45.58,3.42,1.57,4.99,2.43,20.23,n/a,22.67,22.33,0.00,22.33,1.59,2.85,,,3.13,52.22,0.27,1.21,0.12,0.02,13.95,0.61,0.82,0.07,0.71,0.09,65.62
Well 1,5447.78,51.09,1.86,7.99,9.86,2.32,7.80,n/a,10.12,25.38,0.00,25.38,1.26,2.30,,,2.30,50.89,0.33,1.11,0.15,0.03,17.53,0.68,0.57,0.08,0.60,0.07,312.60
Well 1,5466.06,49.16,4.43,8.08,12.51,3.00,8.82,n/a,11.82,23.02,0.00,23.02,1.00,2.48,,,2.29,48.41,0.32,1.08,0.15,0.03,17.25,0.64,0.54,0.08,0.51,0.06,328.67
Well 1,5484.35,46.00,3.90,4.83,8.72,2.63,15.55,n/a,18.19,22.95,0.00,22.95,1.28,2.86,,,2.61,49.16,0.30,1.17,0.13,0.02,14.22,0.61,0.63,0.08,0.61,0.06,145.09
Well 1,5502.64,47.54,5.05,4.08,9.13,2.63,15.07,n/a,17.70,21.94,0.00,21.94,1.10,2.59,,,2.70,49.47,0.28,1.20,0.13,0.02,14.01,0.60,0.67,0.08,0.64,0.07,115.16
Well 1,5520.93,35.72,4.90,0.67,5.58,3.18,27.05,n/a,30.23,20.24,0.71,20.95,1.96,5.57,,,8.28,74.74,0.23,1.32,0.09,0.11,12.38,<LOD,1.18,0.12,1.09,0.06,55.74
Well 1,5539.22,40.98,1.97,1.91,3.87,2.45,23.41,n/a,25.86,21.90,0.97,22.87,2.07,4.35,,,8.64,70.16,0.37,1.92,0.13,0.20,15.01,0.90,1.39,0.11,1.42,0.07,98.64
Well 1,5557.50,39.10,3.62,2.40,6.02,2.47,24.29,n/a,26.76,20.78,1.58,22.35,1.70,4.07,,,8.64,71.14,0.32,1.73,0.14,0.14,14.85,<LOD,1.32,0.10,1.19,0.09,81.25
Well 1,5584.94,44.62,0.77,3.34,4.11,1.94,22.65,n/a,24.59,20.72,1.28,22.00,1.83,2.85,,,5.10,45.06,0.31,1.70,0.13,0.15,13.74,0.55,1.14,0.07,0.96,0.07,84.93
Well 1,5603.22,39.77,3.07,1.86,4.92,3.13,25.54,n/a,28.68,20.90,0.45,21.35,1.64,3.64,,,5.25,51.42,0.34,1.67,0.15,0.06,15.84,0.58,1.17,0.09,0.97,0.09,88.62
Well 1,5621.51,45.92,0.00,3.29,3.29,1.65,21.57,n/a,23.22,22.09,0.93,23.02,1.59,2.96,,,8.13,71.87,0.32,1.72,0.09,0.24,13.82,0.96,1.21,0.11,1.65,0.10,96.29
Well 1,5648.94,37.16,3.50,2.87,6.37,3.13,25.58,n/a,28.71,20.81,0.98,21.80,1.83,4.14,,,5.89,49.58,0.38,1.74,0.16,0.10,14.55,0.55,1.33,0.09,1.08,0.13,68.42
Well 1,5667.23,41.85,2.19,1.97,4.16,2.52,25.10,n/a,27.62,20.50,0.81,21.32,1.64,3.42,,,5.84,49.23,0.35,1.75,0.12,0.14,13.80,0.58,1.29,0.09,1.05,0.09,91.42
Well 1,5685.52,39.21,3.24,1.88,5.12,2.81,24.97,n/a,27.79,22.13,0.63,22.76,1.69,3.43,,,5.77,49.90,0.37,1.79,0.15,0.13,13.98,0.60,1.29,0.09,1.16,0.11,88.91
Well 1,5703.81,38.88,3.03,2.24,5.27,2.92,26.67,n/a,29.59,19.78,0.76,20.54,1.88,3.84,,,5.96,49.48,0.35,1.81,0.14,0.14,14.12,0.59,1.30,0.09,1.06,0.09,80.80
Well 1,5722.10,42.31,2.37,2.30,4.66,2.33,25.13,n/a,27.46,19.51,1.09,20.60,1.78,3.19,,,5.46,43.63,0.33,1.79,0.14,0.10,12.78,0.51,1.24,0.07,0.85,0.10,88.47
Well 1,5731.24,42.72,2.04,2.89,4.93,2.61,24.89,n/a,27.50,19.54,0.43,19.97,1.70,3.17,,,6.00,48.35,0.33,2.04,0.93,0.14,12.87,0.58,1.25,0.09,1.08,0.08,95.40
Well 1,5740.38,44.85,0.57,2.98,3.55,1.92,24.03,n/a,25.96,20.29,0.55,20.84,1.68,3.14,,,6.02,48.49,0.32,1.80,0.13,0.13,13.09,0.55,1.28,0.08,0.92,0.07,91.27
Well 1,5749.53,44.30,4.37,6.11,10.48,3.30,16.52,n/a,19.82,20.50,0.51,21.01,1.45,2.94,,,3.86,47.56,0.38,1.54,0.24,0.09,15.71,0.66,0.83,0.09,0.73,0.10,189.92
Well 1,5758.67,40.14,1.66,4.01,5.67,0.74,10.43,n/a,11.16,33.85,4.67,38.52,2.24,2.27,,,2.81,39.17,0.56,1.94,0.38,0.20,16.76,0.53,0.64,0.07,1.63,0.13,68.71
Well 1,5767.82,44.85,1.06,4.56,5.62,0.55,9.38,n/a,9.93,30.79,5.49,36.27,1.51,1.82,,,3.13,46.29,0.78,4.31,1.25,0.08,16.04,0.49,0.71,0.11,2.85,0.05,<LOD
Well 1,5776.96,45.69,0.00,9.03,9.03,2.97,15.82,n/a,18.80,16.04,6.38,22.42,1.83,2.22,,,5.59,42.15,0.50,2.31,0.19,0.51,12.33,0.66,1.04,0.16,1.63,0.08,224.13
Well 1,5786.10,45.41,0.00,8.91,8.91,2.97,17.65,n/a,20.62,14.29,6.55,20.84,1.84,2.37,,,6.11,42.77,0.47,2.41,0.19,0.42,11.76,0.72,1.17,0.16,1.22,0.13,223.09
